"label_wn_quote","is_delivery_at_holiday","is_created_at_holiday","duration","gender","area_cleaning","day_of_week_delivery","day_of_week_created","total_cost","all_offers","corporate_offers","individual_offers","offers_busy","district","past_day_all_orders","past_day_wq_1h","past_day_wq_2h","past_day_wq_3h","cost_to_area","cost_times_area","duration_to_area","duration_times_area","indiv_offers_to_all_offers","corp_offers_to_all_offers","busy_offers_to_all_offers"
0,1,0,3,"1",1,"5","1",-10000,87,8,79,0,"7",45,38,39,40,NA,NA,3,3,0.908045977011494,0.0919540229885057,0
1,0,0,1,"1",2,"4","3",100000,141,5,136,0,"7",16,16,16,16,50000,200000,0.5,2,0.964539007092199,0.0354609929078014,0
1,0,0,1,"1",4,"3","0",-10000,45,7,38,0,"22",25,23,23,23,NA,NA,0.25,4,0.844444444444444,0.155555555555556,0
1,0,0,3,"2",3,"2","0",150000,91,8,83,0,"5",32,23,25,26,50000,450000,1,9,0.912087912087912,0.0879120879120879,0
1,0,0,1,"0",-1,"3","2",115000,55,9,46,0,"2",24,21,21,21,NA,NA,NA,NA,0.836363636363636,0.163636363636364,0
1,0,0,1,"1",3,"4","3",150000,83,7,76,0,"2",57,42,47,48,50000,450000,0.333333333333333,3,0.91566265060241,0.0843373493975904,0
1,0,0,2,"0",-1,"1","0",161000,40,5,35,0,"6",58,42,49,51,NA,NA,NA,NA,0.875,0.125,0
1,0,0,1,"1",1,"3","1",160000,63,8,55,0,"21",39,37,39,39,160000,160000,1,1,0.873015873015873,0.126984126984127,0
1,1,1,2,"1",4,"5","4",150000,93,13,80,0,"4",46,26,35,37,37500,600000,0.5,8,0.860215053763441,0.139784946236559,0
1,1,1,1,"2",3,"5","4",110000,63,6,57,0,"5",49,41,44,44,36666.6666666667,330000,0.333333333333333,3,0.904761904761905,0.0952380952380952,0
1,0,0,1,"2",2,"6","5",100000,158,7,151,0,"1",10,4,5,6,50000,200000,0.5,2,0.955696202531646,0.0443037974683544,0
1,0,0,1,"0",-1,"4","2",100000,103,8,95,0,"10",40,31,35,37,NA,NA,NA,NA,0.922330097087379,0.0776699029126214,0
1,0,0,1,"1",2,"3","1",100000,159,10,149,0,"22",31,16,24,25,50000,200000,0.5,2,0.937106918238994,0.0628930817610063,0
0,0,0,5,"1",6,"4","1",180000,88,9,79,1,"1",57,47,48,48,30000,1080000,0.833333333333333,30,0.897727272727273,0.102272727272727,0.0113636363636364
1,0,1,5,"1",6,"6","4",200000,79,6,73,0,"1",38,24,29,31,33333.3333333333,1200000,0.833333333333333,30,0.924050632911392,0.0759493670886076,0
0,0,0,1,"2",3,"3","0",85000,151,7,144,0,"3",54,24,37,40,28333.3333333333,255000,0.333333333333333,3,0.95364238410596,0.0463576158940397,0
